,importance,latitude,longitude,prices,sale_dates,Non-Newbuild,Detached,Flat,Semi Detached,Terraced,Freehold,Leasehold,amenity,building,highway,landuse,place,cafe,fast_food,footway,house,living_street,neighbourhood,pedestrian,primary,residential,restaurant,secondary,service,studio,suburb,tertiary,trunk,uncategoryified,yes
32,0.61,51.4240166,-0.2059878,1897000.0,2018-10-24,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33,0.51,51.5601748,-0.1954305,2397132.0,2018-10-23,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
34,0.51,51.5714367,-0.1317442,1020000.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
35,0.62,51.5051444,-0.2658743,562500.0,2018-10-23,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36,0.61,51.4670374,-0.1223807,431250.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
37,0.61,51.4103734,-0.2188204,655000.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
38,0.51,51.4277623,-0.0207979,310000.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
39,0.5402722515829559,51.5159711,-0.19962,2775000.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40,0.61,51.4670374,-0.1223807,525000.0,2018-10-23,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
41,0.51,51.54471765,-0.112802244638372,775000.0,2018-10-23,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
42,0.5309999999999999,51.6058482,-0.0150735,505000.0,2018-10-23,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,0.61,51.4166359,-0.0499437,525000.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
44,0.5199999999999999,51.6037572,-0.0038373,486950.0,2018-10-23,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,0.61,51.4314921,-0.069203,720000.0,2018-10-22,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
46,0.51,51.5873534,-0.0757704,615000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,0.4209999999999999,51.5680687,0.0085821,85500.0,2018-10-22,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,0.61,51.4153971,-0.1954477,375000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
49,0.5199999999999999,51.4973784,-0.2570863,2565000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
50,0.621,51.53359115,-0.137853253051392,1100000.0,2018-10-22,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,0.51,51.5442526,0.0416405,450000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
