,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
505,"Miller Of Mansfield 96 Snowsfields, London, SE1 3SS",Non-Newbuild,,,,,Freehold,,7100000.0,2018-09-12,
506,"6 Bath Street, London, EC1V 9DX",Non-Newbuild,place,Flat,0.411,41.5254797621,Freehold,-72.0751815242,150000.0,2018-09-12,house
507,"4 Aquila Street, London, NW8 6PN",Non-Newbuild,highway,Flat,0.52,51.5346351,Leasehold,-0.1708858,748875.0,2018-09-12,residential
508,"37 St Alphege Road, London, N9 8BU",Non-Newbuild,highway,Terraced,0.61,51.6360531,Freehold,-0.0489028,280000.0,2018-09-12,residential
509,"40 Coleridge Road, London, E17 6QU",Non-Newbuild,place,Terraced,0.531,51.5876502125,Freehold,-0.028043775,560000.0,2018-09-12,house
510,"938 Chelsea Cloisters Sloane Avenue, London, SW3 3EU",Non-Newbuild,,Flat,,,Leasehold,,630000.0,2018-09-12,
511,"Flat 28 Chelsfield Point Penshurst Road, London, E9 7DY",Non-Newbuild,,Flat,,,Leasehold,,266000.0,2018-09-12,
512,"4 Camden Road, London, NW1 9DL",Non-Newbuild,amenity,,0.621,51.5392946,Leasehold,-0.1419363,20000.0,2018-09-12,fast_food
513,"Basement And Ground Floor Premises 86 Camden High Street, London, NW1 0LT",Non-Newbuild,,,,,Leasehold,,20000.0,2018-09-12,
514,"33 Corporation Street, London, E15 3HB",Non-Newbuild,,Terraced,,,Freehold,,350000.0,2018-09-12,
515,"57 Rolls Park Avenue, London, E4 9DG",Non-Newbuild,highway,Terraced,0.62,51.6101631,Freehold,-0.015835,387500.0,2018-09-12,residential
516,"64 Waterfall Road, London, N14 7LB",Non-Newbuild,highway,Semi Detached,0.51,51.6244491,Freehold,-0.1300155,615000.0,2018-09-11,primary
517,"Flat 24 Dorchester Court Buckingham Road, South Woodford, London, E18 2NG",Non-Newbuild,,Flat,,,Leasehold,,330000.0,2018-09-11,
518,"25 Lawrence Court Adenmore Road, London, SE6 4EA",Non-Newbuild,,Flat,,,Leasehold,,300000.0,2018-09-11,
519,"318 Central Park Road, East Ham, London, E6 3AD",Non-Newbuild,highway,Terraced,0.71,51.5304687,Freehold,0.0519891,370000.0,2018-09-11,residential
520,"First Floor Flat 26 Farlton Road, London, SW18 3BL",Non-Newbuild,,Flat,,,Leasehold,,600000.0,2018-09-11,
521,"7a Healey Street, London, NW1 8SR",Non-Newbuild,highway,Flat,0.51,51.5453135,Leasehold,-0.1454445,740000.0,2018-09-11,residential
522,"19 Choumert Square, London, SE15 4RE",Non-Newbuild,building,Terraced,0.621,51.46837875,Freehold,-0.0685357922695,555000.0,2018-09-11,yes
523,"Flat 20 25 - 27 Farringdon Road, London, EC1M 3HA",Non-Newbuild,,Flat,,,Leasehold,,555000.0,2018-09-11,
524,"Flat 7 15 Breakspears Road, London, SE4 1XW",Non-Newbuild,,Flat,,,Leasehold,,207000.0,2018-09-11,
525,"Apartment 31 Elizabeth Court, 1 Palgrave Gardens, London, NW1 6EJ",Non-Newbuild,,Flat,,,Leasehold,,1050000.0,2018-09-11,
526,"Flat 5 3 Montrell Road, London, SW2 4QD",Non-Newbuild,,Flat,,,Leasehold,,407000.0,2018-09-11,
527,"50 Dumont Road, London, N16 0NS",Non-Newbuild,highway,Terraced,0.51,51.5613666,Freehold,-0.0771078,950000.0,2018-09-11,residential
528,"112 Bickley Street, London, SW17 9NE",Non-Newbuild,highway,Flat,0.51,51.4258239,Leasehold,-0.1668534,468000.0,2018-09-11,residential
529,"59b Commercial Street, London, E1 6BD",Non-Newbuild,highway,Flat,0.726067753329,51.5177226,Leasehold,-0.073846,390000.0,2018-09-11,trunk
530,"Flat C Kimpton Court, 66 Howard Road, London, SE25 5BZ",Non-Newbuild,,Flat,,,Leasehold,,285000.0,2018-09-11,
531,"35 Rixsen Road, London, E12 6RN",Non-Newbuild,highway,Terraced,0.52,51.5471506,Freehold,0.0512883,367000.0,2018-09-11,residential
532,"37 Chadwick Road, London, SE15 4RA",Non-Newbuild,building,Terraced,0.521,51.46821005,Freehold,-0.0713144978409,805000.0,2018-09-11,yes
533,"Flat 26 Sunbury House Swanfield Street, London, E2 7LE",Non-Newbuild,,Flat,,,Leasehold,,710000.0,2018-09-11,
534,"62 Stuart Road, London, SW19 8DH",Non-Newbuild,highway,Terraced,0.51,51.4376918,Freehold,-0.1979109,1195000.0,2018-09-11,residential
535,"58 Lawrence Road, London, E6 1JW",Non-Newbuild,highway,Terraced,0.61,51.5372352,Freehold,0.0490242,365000.0,2018-09-11,residential
536,"12 Abingdon Road, London, N3 2RG",Non-Newbuild,highway,Terraced,0.61,51.5984848,Freehold,-0.1803828,600000.0,2018-09-11,residential
537,"66 Woodlands Road, Walthamstow, London, E17 3LE",Non-Newbuild,highway,Terraced,0.585,51.5900842,Freehold,-0.0008531,699000.0,2018-09-11,service
538,"Flat 4 111 Broadhurst Gardens, London, NW6 3BJ",Non-Newbuild,,Flat,,,Leasehold,,605000.0,2018-09-11,
539,"30 Harris Street, London, E17 8EQ",Non-Newbuild,highway,Flat,0.52,51.5707629,Leasehold,-0.0285537,443500.0,2018-09-11,residential
540,"61 Oakwood Crescent, London, N21 1PA",Non-Newbuild,place,Semi Detached,0.421,51.549569,Freehold,-0.3206804,736750.0,2018-09-11,house
541,"24a Nightingale Lane, London, E11 2HE",Non-Newbuild,highway,Terraced,0.52,51.5825452,Freehold,0.027656,500000.0,2018-09-11,residential
542,"15 Cromwell Road, London, E17 9JN",Non-Newbuild,place,Terraced,0.531,51.5801507137,Freehold,-0.00824168097855,675000.0,2018-09-11,house
543,"139 Edensor Gardens, London, W4 2RF",Non-Newbuild,highway,Flat,0.61,51.4814365,Leasehold,-0.2541219,410000.0,2018-09-11,residential
544,"55 Millais Road, London, E11 4HB",Non-Newbuild,highway,Terraced,0.51,51.5552972,Freehold,-0.000318,570000.0,2018-09-11,residential
545,"34 Watchfield Court, London, W4 4NB",Non-Newbuild,,Flat,,,Leasehold,,635000.0,2018-09-11,
546,"5 Boundary Road, London, E13 9PS",Non-Newbuild,,Terraced,,,Freehold,,410000.0,2018-09-11,
547,"Flat 77 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,675250.0,2018-09-11,
548,"Flat 21 Parkview Court, 38 Fulham High Street, London, SW6 3LP",Non-Newbuild,,Flat,,,Leasehold,,475000.0,2018-09-11,
549,"37a Holbeach Road, Catford, London, SE6 4TQ",Non-Newbuild,highway,Semi Detached,0.51,51.4467786,Leasehold,-0.0197929,335000.0,2018-09-11,pedestrian
550,"Flat 14 Seaford House Swan Road, London, SE16 4NQ",Non-Newbuild,,Flat,,,Leasehold,,499950.0,2018-09-11,
551,"Flat 3 Dragon Court, 28 Booth Road, London, NW9 5HS",Non-Newbuild,,Flat,,,Leasehold,,255000.0,2018-09-11,
552,"Community Centre Sydenham Hill, London, SE26 6AG",Non-Newbuild,highway,,0.51,51.4375151,Leasehold,-0.063504,74390.0,2018-09-11,tertiary
553,"78 Chelsworth Drive, Plumstead, London, SE18 2RA",Non-Newbuild,highway,Terraced,0.72,51.4780729,Freehold,0.0826184,290000.0,2018-09-11,residential
554,"Flat 6 Chelsea Lodge, 58 Tite Street, London, SW3 4JD",Non-Newbuild,,Flat,,,Leasehold,,1100000.0,2018-09-11,
555,"31 Jarrow Road, London, N17 9PP",Non-Newbuild,highway,Terraced,0.51,51.5840927,Freehold,-0.0598305,450000.0,2018-09-11,residential
556,"1 Winchester Street, London, W3 8PA",Non-Newbuild,place,,0.411,41.520287,Freehold,-72.075384,25000.0,2018-09-11,house
557,"Flat 1 Charfield Court, 2 Shirland Road, London, W9 2JN",Non-Newbuild,,Flat,,,Leasehold,,550000.0,2018-09-11,
558,"Flat 39 Harvard Court Honeybourne Road, London, NW6 1HL",Non-Newbuild,,Flat,,,Leasehold,,605000.0,2018-09-11,
559,"42 Charlotte Street, London, W1T 2NP",Non-Newbuild,highway,,0.650544503166,51.5194605,Leasehold,-0.1357715,135000.0,2018-09-11,residential
560,"11 Festing Road, London, SW15 1LW",Non-Newbuild,highway,Terraced,0.51,51.4695743,Freehold,-0.2221457,1607500.0,2018-09-11,residential
561,"Flat 3 26a Peckham Rye, London, SE15 4JR",Non-Newbuild,,Flat,,,Leasehold,,380000.0,2018-09-11,
562,"10 Grangemill Road, London, SE6 3JY",Non-Newbuild,highway,Semi Detached,0.51,51.4355775,Freehold,-0.0263741,450000.0,2018-09-11,residential
563,"Flat 78 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,928600.0,2018-09-10,
564,"222 Millfields Road, London, E5 0AR",Non-Newbuild,highway,Terraced,0.52,51.5576641,Freehold,-0.0416914,700000.0,2018-09-10,residential
565,"114 Cambray Road, London, SW12 0EP",Non-Newbuild,highway,Terraced,0.51,51.4453569,Freehold,-0.1365927,930000.0,2018-09-10,residential
566,"Flat 75 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,1030000.0,2018-09-10,
567,"15 Hobury Street, London, SW10 0JB",Non-Newbuild,highway,Terraced,0.61,51.4830344,Freehold,-0.1790811,4050000.0,2018-09-10,residential
568,"98 Furley Road, London, SE15 1UG",Non-Newbuild,highway,Terraced,0.51,51.4772036,Freehold,-0.0665872,790000.0,2018-09-10,residential
569,"14 Brunswick Avenue, London, N11 1HS",Non-Newbuild,building,Terraced,0.521,51.62289215,Freehold,-0.149429146963,560000.0,2018-09-10,yes
570,"122 Galloway Road, London, W12 0PJ",Non-Newbuild,highway,Terraced,0.61,51.5094219,Freehold,-0.2395211,790000.0,2018-09-10,residential
571,"1 Review Road, London, NW2 7BG",Non-Newbuild,building,Terraced,0.421,51.53262065,Freehold,0.154564395027,540000.0,2018-09-10,yes
572,"69a - 69b Golders Green Road, London, NW11 8EL",Non-Newbuild,highway,Flat,0.61,51.575674,Leasehold,-0.2040652,395000.0,2018-09-10,primary
573,"84 Wrentham Avenue, London, NW10 3HG",Non-Newbuild,building,Semi Detached,0.521,51.53687215,Freehold,-0.216406731711,3810000.0,2018-09-10,yes
574,"12 Marlborough Crescent, London, W4 1HF",Non-Newbuild,highway,Semi Detached,0.52,51.4992708,Freehold,-0.2568423,3150000.0,2018-09-10,residential
575,"7 Parkhill Walk, London, NW3 2YU",Non-Newbuild,highway,Terraced,0.31,51.5612288,Freehold,0.2348297,1400000.0,2018-09-10,residential
576,"Flat 48 Breton House Barbican, London, EC2Y 8DQ",Non-Newbuild,,Flat,,,Leasehold,,510000.0,2018-09-10,
577,"17 Roedean Crescent, London, SW15 5JX",Non-Newbuild,highway,Detached,0.61,51.4565676,Freehold,-0.2576019,3350000.0,2018-09-10,residential
578,"Flat 4 21 - 23 Courtfield Road, London, SW7 4DA",Non-Newbuild,,Flat,,,Leasehold,,488000.0,2018-09-10,
579,"6 Vespan Road, London, W12 9QQ",Non-Newbuild,highway,Terraced,0.61,51.5050542,Freehold,-0.2409534,845000.0,2018-09-10,residential
580,"Flat 3 5 Bernard Street, London, WC1N 1LJ",Non-Newbuild,highway,Flat,0.61,51.5230764,Leasehold,-0.1249831,542500.0,2018-09-10,secondary
581,"68 Morton Close, London, E1 2QT",Non-Newbuild,,Flat,,,Leasehold,,440000.0,2018-09-10,
582,"Flat 1 2 Challoner Crescent, London, W14 9LE",Non-Newbuild,highway,Flat,0.61,51.4882863,Leasehold,-0.2060941,310000.0,2018-09-10,residential
583,"137 Napier Road, London, N17 6YQ",Non-Newbuild,highway,Flat,0.51,51.5922193,Leasehold,-0.0764657,125000.0,2018-09-10,residential
584,"22 Eaton Mews North, London, SW1X 8AR",Non-Newbuild,highway,Terraced,0.71,51.4965482,Freehold,-0.1529571,2400000.0,2018-09-10,residential
585,"29b Langham Road, London, N15 3QX",Non-Newbuild,highway,Flat,0.51,51.588236,Leasehold,-0.0935717,341500.0,2018-09-10,tertiary
586,"Flat 25 Marlborough House, 179 - 189 Finchley Road, London, NW3 6LB",Non-Newbuild,,Flat,,,Leasehold,,675000.0,2018-09-10,
587,"276 Strone Road, London, E12 6TP",Non-Newbuild,highway,Terraced,0.61,51.5442526,Freehold,0.0416405,487000.0,2018-09-10,residential
588,"Flat 2 37 Queensborough Terrace, London, W2 3SY",Non-Newbuild,highway,Flat,0.61,51.5126454,Leasehold,-0.1855782,860000.0,2018-09-10,residential
589,"Flat 88 Fable Apartments, 261c City Road, London, EC1V 1AP",Non-Newbuild,,Flat,,,Leasehold,,251000.0,2018-09-10,
590,"Flat G 10 Prior Bolton Street, London, N1 2NX",Non-Newbuild,,Flat,,,Leasehold,,810000.0,2018-09-10,
591,"1 Bunkers Hill, London, NW11 6XA",Non-Newbuild,place,Semi Detached,0.65,-32.9961111,Freehold,27.9305556,2000000.0,2018-09-10,suburb
592,"38 Cavendish Road, London, N4 1RT",Non-Newbuild,place,Terraced,0.421,51.6064439,Freehold,-0.003017,810000.0,2018-09-10,house
593,"7 Ingle Mews, London, EC1R 1XG",Non-Newbuild,highway,Flat,0.585,51.5300006,Leasehold,-0.1097422,675000.0,2018-09-10,service
594,"3 Macdonald Road, London, E17 4AY",Non-Newbuild,place,Terraced,0.531,51.5950017857,Freehold,-0.00520208571429,450000.0,2018-09-10,house
595,"Flat 10 Apex Court, 1 Woodger Road, London, W12 8NW",Non-Newbuild,,Flat,,,Leasehold,,361000.0,2018-09-10,
596,"54 Endlebury Road, London, E4 6QG",Non-Newbuild,,Semi Detached,,,Freehold,,745000.0,2018-09-10,
597,"Flat 71 Pelham Court, 145 Fulham Road, London, SW3 6SH",Non-Newbuild,,Flat,,,Leasehold,,1100000.0,2018-09-10,
598,"13 Glyn Road, London, E5 0JB",Non-Newbuild,place,Terraced,0.521,51.5493944838,Freehold,-0.0400651783784,906000.0,2018-09-10,house
599,"97 Hamilton Road, London, SE27 9SE",Non-Newbuild,place,Terraced,0.421,42.9825421286,Freehold,-81.2327841429,590000.0,2018-09-10,house
600,"Flat 1 Granville Court Harvel Crescent, London, SE2 0QL",Non-Newbuild,,Flat,,,Leasehold,,236500.0,2018-09-10,
601,"301 Lordship Lane, London, SE22 8JH",Non-Newbuild,building,Semi Detached,0.521,51.4517023,Freehold,-0.0763761765762,1250000.0,2018-09-10,yes
602,"5 Mentmore Terrace, London, E8 3PN",Non-Newbuild,highway,,0.51,51.5401573,Freehold,-0.0577556,750000.0,2018-09-10,residential
603,"24 Selhurst Close, London, SW19 6AZ",Non-Newbuild,highway,Flat,0.51,51.4430803,Leasehold,-0.2218961,425000.0,2018-09-10,residential
604,"139 Replingham Road, London, SW18 5LX",Non-Newbuild,highway,Flat,0.51,51.4453601,Leasehold,-0.2019373,598000.0,2018-09-10,tertiary
605,"7 Porch Way, London, N20 0DS",Non-Newbuild,highway,Flat,0.61,51.6244348,Leasehold,-0.1574097,370000.0,2018-09-10,residential
606,"Flat 4 11 Lower Marsh, London, SE1 7RJ",Non-Newbuild,,Flat,,,Leasehold,,860000.0,2018-09-10,
607,"6 Royle Crescent, London, W13 0BH",Non-Newbuild,highway,Semi Detached,0.52,51.5256407,Freehold,-0.3265634,650000.0,2018-09-10,residential
608,"4 Harpenden Road, West Norwood, London, SE27 0AE",Non-Newbuild,highway,Flat,0.71,51.4367534,Leasehold,-0.1071542,341500.0,2018-09-10,residential
609,"18 Lordship Lane, London, SE22 8HN",Non-Newbuild,shop,,0.621,51.4600013,Leasehold,-0.0754222,998.0,2018-09-10,convenience
610,"Flat 1 14 Stanley Street, London, SE8 4BG",Non-Newbuild,highway,Flat,0.61,51.4769299,Leasehold,-0.0313177,432000.0,2018-09-10,residential
611,"41 Arnal Crescent, London, SW18 5PX",Non-Newbuild,highway,Flat,0.61,51.4502005,Leasehold,-0.2114943,280000.0,2018-09-10,residential
612,"C 9 Kings Grove, London, SE15 2LY",Non-Newbuild,highway,Flat,0.51,51.4758222,Leasehold,-0.0588627,358000.0,2018-09-10,residential
613,"413 Green Lanes, London, N13 4JD",Non-Newbuild,amenity,,0.421,51.5783826,Freehold,-0.0991306,2500000.0,2018-09-10,fast_food
614,"Flat 13 Westwood House, 47 Old Devonshire Road, London, SW12 9RF",Non-Newbuild,,Flat,,,Leasehold,,640000.0,2018-09-10,
615,"17 Marjorie Grove, London, SW11 5SH",Non-Newbuild,building,,0.621,51.46251865,Freehold,-0.159343057483,5200.0,2018-09-10,yes
616,"153 Nightingale Place, London, SE18 4HW",Non-Newbuild,highway,Flat,0.61,51.482244,Leasehold,0.0659753,199999.0,2018-09-10,tertiary
617,"55 Woodhouse Road, London, E11 3NU",Non-Newbuild,,,,,Freehold,,500000.0,2018-09-10,
618,"Flat 1 138 Trundleys Road, London, SE8 5JG",Non-Newbuild,,Flat,,,Leasehold,,290000.0,2018-09-10,
619,"Flat 50 Moineau The Concourse, London, NW9 5UR",Non-Newbuild,,Flat,,,Leasehold,,200000.0,2018-09-10,
620,"Apartment 503 Walpole Lodge, 7 Plaza Gardens, London, SW15 2DP",Non-Newbuild,,Flat,,,Leasehold,,180000.0,2018-09-10,
621,"Flat 4 Mayford Oakley Square, London, NW1 1NX",Non-Newbuild,,Flat,,,Leasehold,,555000.0,2018-09-10,
622,"Flat 702 Siddal Apartments, 6 Heygate Street, London, SE17 1FQ",Non-Newbuild,,Flat,,,Leasehold,,770000.0,2018-09-10,
623,"27 St Annes Court, London, W1F 0BN",Non-Newbuild,amenity,,0.611,51.5146535,Leasehold,-0.133437749052,210000.0,2018-09-10,restaurant
624,"Flat 2 34 Shrubbery Road, Streatham, London, SW16 2AT",Non-Newbuild,,Flat,,,Leasehold,,355000.0,2018-09-10,
625,"56 Shirlock Road, London, NW3 2HS",Non-Newbuild,highway,Terraced,0.51,51.5557024,Freehold,-0.1576293,1910000.0,2018-09-10,residential
626,"Flat A37 Parliament View Apartments, 1 Albert Embankment, London, SE1 7XH",Non-Newbuild,,Flat,,,Leasehold,,1100000.0,2018-09-10,
627,"14 Allingham Street, London, N1 8NY",Non-Newbuild,highway,Terraced,0.52,51.5342927,Freehold,-0.0982169,1355000.0,2018-09-10,residential
628,"33 Lower Downs Road, London, SW20 8QQ",Non-Newbuild,highway,Semi Detached,0.71,51.4121657,Freehold,-0.2188506,830000.0,2018-09-10,tertiary
629,"11 Gunnersbury Manor Elm Avenue, London, W5 3XB",Non-Newbuild,,,,,Leasehold,,410000.0,2018-09-10,
630,"9a Hargrave Road, London, N19 5SH",Non-Newbuild,highway,Flat,0.51,51.5644425,Leasehold,-0.1323766,507500.0,2018-09-07,residential
631,"Flat 21 Keepier Wharf, 12 Narrow Street, London, E14 8DH",Non-Newbuild,,Flat,,,Leasehold,,1640000.0,2018-09-07,
632,"20 Treves Close, London, N21 1TT",Non-Newbuild,highway,Flat,0.51,51.6457233,Leasehold,-0.1131688,275000.0,2018-09-07,residential
633,"19a Tournay Road, London, SW6 7UG",Non-Newbuild,highway,Terraced,0.51,51.4818367,Leasehold,-0.2023288,780000.0,2018-09-07,residential
634,"16 Falcon Court, London, N1 8EY",Non-Newbuild,,Flat,,,Leasehold,,525000.0,2018-09-07,
635,"74 Verulam Court Woolmead Avenue, London, NW9 7AW",Non-Newbuild,,Flat,,,Leasehold,,270000.0,2018-09-07,
636,"38b Windsor Road, London, E10 5LR",Non-Newbuild,,Flat,,,Leasehold,,430000.0,2018-09-07,
637,"21 Kenilworth Road, London, W5 5PA",Non-Newbuild,highway,Semi Detached,0.61,51.5082521,Freehold,-0.3000583,1650000.0,2018-09-07,residential
638,"5b Abercorn Road, London, NW7 1JD",Non-Newbuild,highway,Terraced,0.51,51.6044532,Freehold,-0.2027152,615000.0,2018-09-07,residential
639,"Flat 25 398 Seven Sisters Road, London, N4 2EP",Non-Newbuild,,Flat,,,Leasehold,,575000.0,2018-09-07,
640,"31 Millson Close, London, N20 0LQ",Non-Newbuild,highway,Terraced,0.61,51.6278775,Freehold,-0.1698289,493500.0,2018-09-07,residential
641,"Flat 1 Sullivan Court, 2 Eric Street, London, E3 4HG",Non-Newbuild,,Flat,,,Leasehold,,476500.0,2018-09-07,
642,"61a Tudor Road, London, E9 7SN",Non-Newbuild,highway,Flat,0.61,51.5386785,Leasehold,-0.0545807,425000.0,2018-09-07,uncategoryified
643,"Flat 2 15 Whitehall Park, London, N19 3TS",Non-Newbuild,highway,Flat,0.51,51.5701853,Leasehold,-0.1357247,577000.0,2018-09-07,residential
644,"55 Bemsted Road, London, E17 5JY",Non-Newbuild,place,Flat,0.531,51.5914992579,Leasehold,-0.0263357263158,429000.0,2018-09-07,house
645,"75 St Elmo Road, London, W12 9DZ",Non-Newbuild,highway,Flat,0.71,51.5050438,Leasehold,-0.245757,505000.0,2018-09-07,residential
646,"54 Artizan Court Noel Park Road, London, N22 6ED",Non-Newbuild,,Flat,,,Leasehold,,330000.0,2018-09-07,
647,"10 Kensington Close, London, N11 3PU",Non-Newbuild,highway,Terraced,0.61,51.6117127,Freehold,-0.1455515,575000.0,2018-09-07,residential
648,"57a Hestercombe Avenue, London, SW6 5LL",Non-Newbuild,highway,Flat,0.51,51.4741759,Leasehold,-0.2089036,805000.0,2018-09-07,residential
649,"Flat 3 12 Lexham Gardens, London, W8 5JE",Non-Newbuild,,Flat,,,Leasehold,,600000.0,2018-09-07,
650,"Flat C 25 Trebovir Road, London, SW5 9NF",Non-Newbuild,,Flat,,,Leasehold,,1160000.0,2018-09-07,
651,"10 St Andrews Mews, London, N16 5HX",Non-Newbuild,highway,Terraced,0.61,51.5703689,Freehold,-0.0795383,750000.0,2018-09-07,residential
652,"24 Asland Road, London, E15 3LL",Non-Newbuild,highway,Terraced,0.61,51.535132,Freehold,0.0030976,499999.0,2018-09-07,residential
653,"18 Everest Road, London, SE9 6PX",Non-Newbuild,highway,Semi Detached,0.61,51.4543751,Freehold,0.0493914,700000.0,2018-09-07,residential
654,"60 Vernon Road, Leytonstone, London, E11 4QU",Non-Newbuild,highway,Terraced,0.63,51.5675076,Freehold,0.008189,600000.0,2018-09-07,residential
655,"20 Crothall Close, London, N13 4BN",Non-Newbuild,highway,Detached,0.61,51.625256,Freehold,-0.1117452,750000.0,2018-09-07,residential
656,"45 Ellerby Street, London, SW6 6EU",Non-Newbuild,highway,Semi Detached,0.61,51.4749803,Freehold,-0.2176005,3150000.0,2018-09-07,residential
657,"Lower Cottage Daws Hill, London, E4 7QU",Non-Newbuild,,Detached,,,Freehold,,1075000.0,2018-09-07,
658,"45 Halstead Road, London, E11 2AY",Non-Newbuild,highway,Semi Detached,0.52,51.5828043,Freehold,0.0273053,811000.0,2018-09-07,residential
659,"5 Woodland Hill, London, SE19 1PB",Non-Newbuild,highway,Flat,0.52,51.4218068,Freehold,-0.0821235,745000.0,2018-09-07,residential
660,"100 Bream Close, London, N17 9DQ",Non-Newbuild,highway,Flat,0.61,51.5856913,Leasehold,-0.0559194,332000.0,2018-09-07,residential
661,"Apartment 140 Burford Wharf Apartments, 3 Cam Road, London, E15 2SS",Non-Newbuild,,Flat,,,Leasehold,,150500.0,2018-09-07,
662,"258 Broad Walk, Kidbrooke, London, SE3 8NQ",Non-Newbuild,highway,Semi Detached,0.61,51.4686587,Freehold,0.0468899,578000.0,2018-09-07,tertiary
663,"56 Templeton Avenue, London, E4 6SP",Non-Newbuild,highway,Terraced,0.52,51.6188874,Freehold,-0.0144746,425000.0,2018-09-07,residential
664,"150 The Avenue, London, E4 9RD",Non-Newbuild,landuse,Semi Detached,0.51,51.6034693,Freehold,0.0734667420532,970000.0,2018-09-07,residential
665,"49 Scotts Road, London, E10 6LN",Non-Newbuild,highway,Terraced,0.41,51.5017343,Freehold,-0.396516,650000.0,2018-09-07,residential
666,"12 Lens Road, London, E7 8PU",Non-Newbuild,highway,Terraced,0.61,51.5392121,Freehold,0.0349211,300000.0,2018-09-07,residential
667,"Flat 3 279 Forest Road, Leytonstone, London, E11 1GE",Non-Newbuild,,Flat,,,Leasehold,,120000.0,2018-09-07,
668,"Flat 13 Tasman Court, 244 Westferry Road, London, E14 3QJ",Non-Newbuild,,Flat,,,Leasehold,,440000.0,2018-09-07,
669,"70 Mast House Terrace, London, E14 3RN",Non-Newbuild,highway,Terraced,0.71,51.4896485,Freehold,-0.0231732,740000.0,2018-09-07,residential
670,"Flat 37 Dundee Court, 73 Wapping High Street, London, E1W 2YG",Non-Newbuild,,Flat,,,Leasehold,,915000.0,2018-09-07,
671,"Flat 133 Berglen Court, 7 Branch Road, London, E14 7JY",Non-Newbuild,,Flat,,,Leasehold,,640000.0,2018-09-07,
672,"1 Byland Close, London, N21 1QH",Non-Newbuild,highway,Flat,0.71,51.6384705,Leasehold,-0.1142558,452500.0,2018-09-07,residential
673,"Flat 31 Jackman House Watts Street, London, E1W 2PU",Non-Newbuild,,Flat,,,Leasehold,,400000.0,2018-09-07,
674,"84 Chesterford Road, London, E12 6LB",Non-Newbuild,,Terraced,,,Freehold,,377500.0,2018-09-07,
675,"13a Ramillies Road, London, W4 1JW",Non-Newbuild,highway,Semi Detached,0.52,51.498038,Freehold,-0.260887,1600000.0,2018-09-07,residential
676,"Flat 58 Boscobel House Royal Oak Road, London, E8 1BU",Non-Newbuild,,Flat,,,Leasehold,,440000.0,2018-09-07,
677,"27 Rosedene Terrace, Leyton, London, E10 5LS",Non-Newbuild,highway,Detached,0.63,51.563293,Freehold,-0.0139087,585000.0,2018-09-07,residential
678,"25b Chislehurst Avenue, London, N12 0HU",Non-Newbuild,highway,Flat,0.51,51.6073408,Leasehold,-0.1803069,430000.0,2018-09-07,residential
679,"6 The Hollies, London, N11 2EA",Non-Newbuild,place,Flat,0.221,51.5421269167,Leasehold,-0.0557537666667,425000.0,2018-09-07,house
680,"112 Marlborough Avenue, London, E8 4SL",Non-Newbuild,place,Flat,0.421,42.9704135286,Leasehold,-81.2141347857,361500.0,2018-09-07,house
681,"5 Reedham Close, London, N17 9PX",Non-Newbuild,highway,Flat,0.51,51.5864993,Leasehold,-0.0571565,400000.0,2018-09-07,residential
682,"7 Clematis Apartments Merchant Street, London, E3 4PQ",Non-Newbuild,,Flat,,,Leasehold,,370000.0,2018-09-07,
683,"38 Voluntary Place, London, E11 2RP",Non-Newbuild,highway,Terraced,0.61,51.5766544,Freehold,0.0208316,466000.0,2018-09-07,residential
684,"Ground Floor Flat 42 Macfarlane Road, London, W12 7JZ",Non-Newbuild,,Flat,,,Leasehold,,420000.0,2018-09-07,
685,"6 Stocksfield Road, London, E17 3LJ",Non-Newbuild,highway,Flat,0.52,51.5880828,Leasehold,-0.0028028,312500.0,2018-09-07,residential
686,"72 Alders Close, London, E11 3RZ",Non-Newbuild,highway,Flat,0.61,51.5637662,Leasehold,0.0272999,330000.0,2018-09-07,residential
687,"Flat 359 Latymer Court Hammersmith Road, London, W6 7LH",Non-Newbuild,,Flat,,,Leasehold,,446000.0,2018-09-07,
688,"27 Holland Road, East Ham, London, E6 2EW",Non-Newbuild,highway,Terraced,0.61,51.536742,Freehold,0.0614623,380000.0,2018-09-07,residential
689,"27 Huxley Road, London, E10 5QT",Non-Newbuild,,Flat,,,Leasehold,,436125.0,2018-09-07,
690,"Flat 59 Chelsea Vista The Boulevard, London, SW6 2SD",Non-Newbuild,,Flat,,,Leasehold,,665000.0,2018-09-07,
691,"Clock House, 7 Brewery Square, London, EC1V 4LE",Non-Newbuild,,Terraced,,,Freehold,,3300000.0,2018-09-07,
692,"16 Montpelier Gardens, London, E6 3JD",Non-Newbuild,highway,Terraced,0.52,51.5277704,Freehold,0.045432,440000.0,2018-09-07,residential
693,"Flat 4 65 Cadogan Gardens, London, SW3 2RA",Non-Newbuild,highway,Flat,0.51,51.4929496,Leasehold,-0.1593379,490000.0,2018-09-07,residential
